,Site_name,Fish and period,BfQ_area
0,sfe_322,Chinook Salmon - spawning,13572.3592
1,sfe_322_n0,Chinook Salmon - spawning,10704.4031
2,sfe_322_s0,Chinook Salmon - spawning,10960.808
3,sfe_322_s1,Chinook Salmon - spawning,11353.6712
4,sfe_322_s2,Chinook Salmon - spawning,12913.8064
5,sfe_322,Chinook Salmon - fry,13572.3592
6,sfe_322_n0,Chinook Salmon - fry,10704.4031
7,sfe_322_s0,Chinook Salmon - fry,10960.808
8,sfe_322_s1,Chinook Salmon - fry,11353.6712
9,sfe_322_s2,Chinook Salmon - fry,12913.8064
10,sfe_322,Chinook Salmon - juvenile,13572.3592
11,sfe_322_n0,Chinook Salmon - juvenile,10704.4031
12,sfe_322_s0,Chinook Salmon - juvenile,10960.808
13,sfe_322_s1,Chinook Salmon - juvenile,11353.6712
14,sfe_322_s2,Chinook Salmon - juvenile,12913.8064
15,sfe_82,Chinook Salmon - spawning,2823.6355
16,sfe_82_n0,Chinook Salmon - spawning,2985.3816
17,sfe_82_s0,Chinook Salmon - spawning,3003.1868
18,sfe_82_s1,Chinook Salmon - spawning,2940.3635
19,sfe_82_s2,Chinook Salmon - spawning,2819.9225
20,sfe_82,Chinook Salmon - fry,2823.6355
21,sfe_82_n0,Chinook Salmon - fry,2985.3816
22,sfe_82_s0,Chinook Salmon - fry,3003.1868
23,sfe_82_s1,Chinook Salmon - fry,2940.3635
24,sfe_82_s2,Chinook Salmon - fry,2819.9225
25,sfe_82,Chinook Salmon - juvenile,2823.6355
26,sfe_82_n0,Chinook Salmon - juvenile,2985.3816
27,sfe_82_s0,Chinook Salmon - juvenile,3003.1868
28,sfe_82_s1,Chinook Salmon - juvenile,2940.3635
29,sfe_82_s2,Chinook Salmon - juvenile,2819.9225
30,sfe_4523,Chinook Salmon - spawning,238.34449999999998
31,sfe_4523_n0,Chinook Salmon - spawning,168.8947
32,sfe_4523_s0,Chinook Salmon - spawning,168.2399
33,sfe_4523_s1,Chinook Salmon - spawning,171.6137
34,sfe_4523_s2,Chinook Salmon - spawning,167.1418
35,sfe_4523,Chinook Salmon - fry,238.34449999999998
