,site_name,version,Total_NRMSD,Error_spawning,Error_fry,Error_juvenile,,Error_spawning,Error_fry,Error_juvenile
0,sfe_322,n0,0.278955436,0.961302936,0.391835971,0.613803865,,,,
1,sfe_322,s0,0.229806727,0.954818156,0.540166412,0.743899493,,,,
2,sfe_322,s1,0.240976122,0.971232748,0.389996461,0.606621403,,,,
3,sfe_322,s2,0.176966418,0.970719919,0.910583672,0.912553111,,,,
4,sfe_82,n0,0.138461888,nan,0.989914024,0.98706146,,,,
5,sfe_82,s0,0.131633079,0,0.9905936,0.988442115,,,,
6,sfe_82,s1,0.124842173,0,0.985030819,0.988941406,,,,
7,sfe_82,s2,0.123260254,0,0.981563009,0.990611076,,,-0.009116343,
8,sfe_4523,n0,0.121417968,0.247076171,0.369815076,0.406417,,,,
9,sfe_4523,s0,0.122012017,0.247076171,0.369711234,0.410694416,,,,
10,sfe_4523,s1,0.09897479,0.247076171,0.390448719,0.61520436,,,,
11,sfe_4523,s2,0.076121415,0.513594255,0.516512243,0.823939473,,,,
12,sfe_81,n0,0.066654309,0.994468786,0.39297372,0.984745236,,,,
13,sfe_81,s0,0.064294952,0.990849169,0.670831702,0.988169999,,,,
14,sfe_81,s1,0.041255467,0.995950576,0.478590654,0.984803621,,,-0.489320183,-0.003762018
15,sfe_81,s2,0.064396404,0.990087236,0.93716383,0.98852246,,,,
16,sfe_24,n0,0.120997047,0.970476477,0.734311874,0.937573742,,,,
17,sfe_24,s0,0.100605259,0.971296545,0.796566547,0.947627874,,,,
18,sfe_24,s1,0.12884965,0.97276087,0.743526168,0.9404577,,,,
19,sfe_24,s2,0.086680447,0.991240911,0.934597399,0.989266904,,,,
20,sfe_25,n0,0.185131823,0.936367304,0.465110694,0.939515556,,,,
21,sfe_25,s0,0.184544457,0.935767298,0.46632202,0.940843343,,,,
22,sfe_25,s1,0.075592009,0.961260234,0.705122148,0.96925949,,,,-0.00357521
23,sfe_25,s2,0.134368181,0.945483876,0.688185204,0.972737229,,,,
24,sfe_316,n0,0.131718763,0.990809407,0.381000751,0.911289729,,,,
25,sfe_316,s0,0.089335012,0.984049699,0.929390275,0.957394251,,-0.00801213,-0.010639513,-0.0187587
26,sfe_316,s1,0.119323695,0.991003601,0.38039973,0.926018745,,,,
27,sfe_316,s2,0.100006159,0.991997713,0.939384872,0.975697059,,,,
28,sfe_2248,n0,0.213011275,0.997520824,0.426198324,0.722241558,,,,
29,sfe_2248,s0,0.208764504,0.99714044,0.425370759,0.697142881,,,,
30,sfe_2248,s1,0.174969002,0.99731952,0.426778894,0.785084107,,-0.000498584,-0.151481881,
31,sfe_2248,s2,0.192740054,0.997817016,0.502969688,0.759791517,,,,
32,sfe_221,n0,0.136623544,0.970778236,0.403268902,0.897709991,,,,
33,sfe_221,s0,0.101413209,0.968970409,0.602319197,0.959105069,,,,
34,sfe_221,s1,0.087125069,0.976030672,0.465095133,0.915268275,,,,
35,sfe_221,s2,0.069180952,0.986391186,0.874601157,0.993147365,,,,
36,sfe_209,n0,0.184461587,0.988500919,0.422706329,0.502466954,,,,
37,sfe_209,s0,0.073687331,0.997534388,0.954814369,0.991599732,,,,
38,sfe_209,s1,0.177058851,0.989102084,0.421330847,0.508876948,,,,
39,sfe_209,s2,0.125562599,0.996422888,0.846889732,0.909708736,,,,
